orig_node	entity_uri
prevotella salivae	NCBITaxon:228604
Lactobacillus acidophilus	NCBITaxon:1579
Clostridium cluster XVIII	NCBITaxon:not_found
Fusobacteria	NCBITaxon:32066
Spirochaetes	NCBITaxon:203691
Synergistetes	NCBITaxon:508458
Kocuria	NCBITaxon:57493
Myceligenerans	NCBITaxon:253183
Paracoccus	NCBITaxon:265
Filifactor	NCBITaxon:44259
Chloroflexi	NCBITaxon:200795
Tenericutes	NCBITaxon:544448
Leclercia	NCBITaxon:83654
Pelobacter	NCBITaxon:18
Wolinella	NCBITaxon:843
Methylophilus	NCBITaxon:16
Propionimicrobium	NCBITaxon:203133
Cronobacter	NCBITaxon:413496
Bdellovibrio	NCBITaxon:958
Methylotenera	NCBITaxon:359407
Actinobaculum	NCBITaxon:76833
Ureaplasma urealyticum	NCBITaxon:2130
Microvirgula	NCBITaxon:57479
Oribacterium sinus	NCBITaxon:237576
Gemellales	NCBITaxon:not_found
Parascardovia	NCBITaxon:196082
Caldalkalibacillus	NCBITaxon:379065
Nesterenkonia	NCBITaxon:57494
Aeribacillus	NCBITaxon:1055323
Halomonas	NCBITaxon:2745
Alcaligenaceae	NCBITaxon:506
Peptococcaceae	NCBITaxon:186807
Leuconostoc	NCBITaxon:1243
Shuttleworthia	NCBITaxon:177971
Finegoldia	NCBITaxon:150022
Bilophila	NCBITaxon:35832
Brevibacterium	NCBITaxon:1696
Lachnobacterium	NCBITaxon:140625
Shewanella algae	NCBITaxon:38313
Leptotrichia wadei	NCBITaxon:157687
Peptostreptococcus stomatis	NCBITaxon:341694
Micrococcus	NCBITaxon:1269
Bartonellaceae	NCBITaxon:772
Aestuariimicrobium	NCBITaxon:396388
Curtobacterium	NCBITaxon:2034
Corynebacterium accolens	NCBITaxon:38284
Alicycliphilus	NCBITaxon:201096
Prevotella dentalis	NCBITaxon:52227
Nocardia asteroides	NCBITaxon:1824
Haemophilus influenzae	NCBITaxon:727
Corynebacterium pseudodiphtheriticum	NCBITaxon:37637
Streptococcus agalactiae	NCBITaxon:1311
Moraxella catarrhalis	NCBITaxon:480
Carnobacterium alterfunditum	NCBITaxon:28230
Enterococcus mundtii	NCBITaxon:53346
Pediococcus pentosaceus	NCBITaxon:1255
Corynebacterium tuberculostearicum	NCBITaxon:38304
Lactobacillus ruminis	NCBITaxon:1623
Methanosphaera	NCBITaxon:2316
Pseudoramibacter	NCBITaxon:113286
Clostridiaceae	NCBITaxon:31979
Tissierellaceae	NCBITaxon:1737406
Leptotrichiaceae	NCBITaxon:1129771
Cardiobacterium	NCBITaxon:2717
Pseudomonadaceae	NCBITaxon:135621
Cyanobacteria	NCBITaxon:1117
Pelomonas	NCBITaxon:335058
Bacteroides caccae	NCBITaxon:47678
Odoribacteraceae	NCBITaxon:1853231
Anaerofustis	NCBITaxon:264995
Bacteroides eggerthii	NCBITaxon:28111
Alistipes indistinctus	NCBITaxon:626932
Anaerofilum	NCBITaxon:52784
