subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:51671	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:131800
NCBITaxon:1227492	biolink:occurs_in	mediadive.medium:371	BAO:0002924	bacdive:130845
NCBITaxon:1486281	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:130620
NCBITaxon:1347788	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:24784
NCBITaxon:472	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:24222
NCBITaxon:1409	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:23648
NCBITaxon:439481	biolink:occurs_in	mediadive.medium:1083	BAO:0002924	bacdive:23434
NCBITaxon:1123246	biolink:occurs_in	mediadive.medium:943	BAO:0002924	bacdive:18008
NCBITaxon:398773	biolink:occurs_in	mediadive.medium:1171	BAO:0002924	bacdive:17901
NCBITaxon:588672	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:17630
NCBITaxon:58340	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15347
NCBITaxon:390242	biolink:occurs_in	mediadive.medium:545	BAO:0002924	bacdive:14102
NCBITaxon:765201	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:12608
NCBITaxon:889282	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12053
NCBITaxon:83455	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:10149
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9303
NCBITaxon:79270	biolink:occurs_in	mediadive.medium:480c	BAO:0002924	bacdive:4183
NCBITaxon:1409	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:927
NCBITaxon:58172	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:160464
NCBITaxon:1931	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:159136
NCBITaxon:147645	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:158098
NCBITaxon:50741	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:139846
NCBITaxon:1831	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:131920
NCBITaxon:1871048	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:131698
NCBITaxon:390241	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:131130
NCBITaxon:67304	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15469
NCBITaxon:51203	biolink:occurs_in	mediadive.medium:713	BAO:0002924	bacdive:7075
NCBITaxon:82996	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:5155
NCBITaxon:83460	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3739
NCBITaxon:1048	biolink:occurs_in	mediadive.medium:28	BAO:0002924	bacdive:2448
NCBITaxon:33941	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:1434
NCBITaxon:1409	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:159926
NCBITaxon:2315729	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:159376
NCBITaxon:993690	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:131370
NCBITaxon:287	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:130998
NCBITaxon:43767	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:130477
NCBITaxon:303541	biolink:occurs_in	mediadive.medium:11	BAO:0002924	bacdive:130366
NCBITaxon:46610	biolink:occurs_in	mediadive.medium:298	BAO:0002924	bacdive:130338
NCBITaxon:1123282	biolink:occurs_in	mediadive.medium:711	BAO:0002924	bacdive:17687
NCBITaxon:28214	biolink:occurs_in	mediadive.medium:605	BAO:0002924	bacdive:14210
NCBITaxon:1067	biolink:occurs_in	mediadive.medium:27	BAO:0002924	bacdive:13925
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12179
NCBITaxon:59843	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:11496
NCBITaxon:1122962	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:7227
NCBITaxon:1270	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:158999
NCBITaxon:1465486	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:158179
NCBITaxon:369942	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:158144
NCBITaxon:1978372	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:139992
NCBITaxon:1591	biolink:occurs_in	mediadive.medium:231	BAO:0002924	bacdive:139743
