CHEBI:132299	CAS-RN:2905-69-3
CHEBI:132300	CAS-RN:736994-63-1
CHEBI:132314	CAS-RN:107316-88-1
CHEBI:132317	CAS-RN:12264-18-5
CHEBI:132331	CAS-RN:7549-37-3
CHEBI:132332	CAS-RN:74411-19-1
CHEBI:132333	CAS-RN:99694-86-7
CHEBI:132334	CAS-RN:37239-47-7
CHEBI:132335	CAS-RN:53938-08-2
CHEBI:132336	CAS-RN:137131-18-1
CHEBI:132337	CAS-RN:147362-43-4
CHEBI:132338	CAS-RN:198129-84-9
CHEBI:132341	CAS-RN:198129-86-1
CHEBI:132343	CAS-RN:268541-26-0
CHEBI:132346	CAS-RN:81827-74-9
CHEBI:132348	CAS-RN:99694-87-8
CHEBI:132349	CAS-RN:170557-25-2
CHEBI:132351	CAS-RN:146900-55-2
CHEBI:132352	CAS-RN:142950-86-5
CHEBI:132353	CAS-RN:142937-50-6
CHEBI:132354	CAS-RN:268541-23-7
CHEBI:132355	CAS-RN:1229654-66-3
CHEBI:132357	CAS-RN:4901-51-3
CHEBI:132359	CAS-RN:58-90-2
CHEBI:132364	CAS-RN:3943-89-3
CHEBI:132366	CAS-RN:2150-43-8
CHEBI:132369	CAS-RN:69847-26-3
CHEBI:132370	CAS-RN:100897-87-8
CHEBI:132371	CAS-RN:201534-09-0
CHEBI:132372	CAS-RN:201534-08-9
CHEBI:132373	CAS-RN:4871-87-8
CHEBI:132374	CAS-RN:39903-21-4
CHEBI:132375	CAS-RN:158629-70-0
CHEBI:132378	CAS-RN:167882-66-8
CHEBI:132380	CAS-RN:138884-84-1
CHEBI:132381	CAS-RN:147362-40-1
CHEBI:132382	CAS-RN:911306-27-9
CHEBI:132383	CAS-RN:262599-02-0
CHEBI:132384	CAS-RN:262599-03-1
CHEBI:132385	CAS-RN:262599-04-2
CHEBI:132386	CAS-RN:41758-69-4
CHEBI:132387	CAS-RN:345954-00-9
CHEBI:132388	CAS-RN:259823-31-9
CHEBI:132389	CAS-RN:226975-99-1
CHEBI:132390	CAS-RN:259823-33-1
CHEBI:132391	CAS-RN:63019-38-5
CHEBI:132392	CAS-RN:33510-25-7
CHEBI:132393	CAS-RN:146439-78-3
CHEBI:132399	CAS-RN:156639-77-9
CHEBI:132401	CAS-RN:495-30-7
CHEBI:132403	CAS-RN:6366-77-4
CHEBI:132404	CAS-RN:65945-06-4
CHEBI:132405	CAS-RN:63019-39-6
CHEBI:132406	CAS-RN:63019-40-9
CHEBI:132407	CAS-RN:37515-51-8
CHEBI:132443	CAS-RN:22717-94-8
CHEBI:132445	CAS-RN:22717-95-9
CHEBI:132446	CAS-RN:375-73-5
CHEBI:132448	CAS-RN:355-46-4
CHEBI:132452	CAS-RN:62994-48-3
CHEBI:132466	CAS-RN:546-99-6
CHEBI:132471	CAS-RN:61281-37-6
CHEBI:132475	CAS-RN:40738-12-3
CHEBI:132481	CAS-RN:593-87-3
CHEBI:132487	CAS-RN:97889-56-0
CHEBI:132496	CAS-RN:209866-92-2
CHEBI:132497	CAS-RN:163520-33-0
CHEBI:132504	CAS-RN:1130296-65-9
CHEBI:132506	CAS-RN:119959-65-8
CHEBI:132512	CAS-RN:98618-76-9
CHEBI:132546	CAS-RN:923-01-3
CHEBI:132549	CAS-RN:111-06-8
CHEBI:132553	CAS-RN:112572-51-7
CHEBI:132571	CAS-RN:253310-42-8
CHEBI:132572	CAS-RN:2820-55-5
CHEBI:132578	CAS-RN:24539-56-8
CHEBI:132583	CAS-RN:5393-19-1
CHEBI:132587	CAS-RN:35118-50-4
CHEBI:132592	CAS-RN:3100-04-7
CHEBI:132593	CAS-RN:106610-61-1
CHEBI:132594	CAS-RN:31047-64-0
CHEBI:132604	CAS-RN:24539-57-9
CHEBI:132606	CAS-RN:40321-98-0
CHEBI:132607	CAS-RN:40321-99-1
CHEBI:132609	CAS-RN:7517-36-4
CHEBI:132611	CAS-RN:40809-41-4
CHEBI:132612	CAS-RN:2528-16-7
