tax_id	carbon_substrates
290589	arabinose, fructose, glucosamine, glucose, glycogen, maltose, mannose, rhamnose, sucrose, trehalose, xylose
426704	acetate, ethanol, glucose, lactate, sorbitol, sucrose
426702	acetate, arabinose, cellobiose, ethanol, galactose, glucose, lactate, lactose, raffinose, salicin, sucrose, xylose
426703	acetate, arabinose, cellobiose, ethanol, galactose, glucose, lactate, lactose, raffinose, salicin, sucrose, xylose
426701	acetate, cellobiose, ethanol, galactose, glucose, lactate, lactose, raffinose, salicin, sucrose
645887	ethanol, pyruvate
400390	cellobiose, glucose, maltose, mannose, sucrose, Tween 20, Tween 40
889453	arabinose, cellobiose, fructose, galactose, malate, maltose, mannose, ribose, sorbitol, sucrose, trehalose, xylose
159478	3-hydroxybutyrate, succinate
504798	citrate, glucosamine, malonate, mannose, melibiose, phenylalanine, rhamnose, ribose, sorbitol, sucrose, trehalose, xylose
504798	citrate, glucosamine, malonate, mannose, melibiose, phenylalanine, rhamnose, ribose, sorbitol, sucrose, trehalose, xylose
570278	2,3-butanediol, alanine, alanine, alpha-ketovaleric acid, fructose, glucose, glycerol, lactate, lactose, maltose, mannose, methyl beta-D-glucoside, pyruvate, ribose, serine, sucrose, thymidine, trehalose, Tween 40, Tween 80, uridine, xylose
643052	acetate, arabinose, citrate, raffinose, xylose
643052	arabinose, citrate, galactose, glucose, mannose, raffinose, rhamnose, ribose, xylitol, xylose
643052	acetate, arabinose, citrate, raffinose, xylitol
430676	fructose, lactate, malate, pyruvate
402883	acetate, glucose, malate, pyruvate, succinate
1142134	arabinose, cellobiose, dextrin, fructose, fucose, galactose, glucose, glycerol, lactose, malate, maltose, mannitol, mannose, raffinose, rhamnose, serine, sorbitol, succinate, xylose
1144618	acetate, cellobiose, dextrin, formic acid, fructose, fucose, gluconic acid, glucose, maltose, mannitol, mannose, methyl beta-D-glucoside, myo-inositol, succinate, sucrose, trehalose
671218	fructose, glucose, lactose, maltose, mannose
1160091	arabinose, cellobiose, galactose, lactose, mannose, melibiose, xylose
419015	arabinose, glucose, maltose, raffinose, salicin, sucrose, xylose
748908	glucose, mannose
650004	dextrin, formic acid, glucose, lactate, pyruvic acid methyl ester, Tween 20, Tween 80
361183	adipate, glutamate, maltose, mannitol, N-acetylgulcosamine, proline, serine, trehalose, Tween 40, Tween 80
1028742	glucose, mannitol
374177	alanine, alanine, arabinose, glucose, maltose, proline, sucrose
543877	malate
543877	malate
